expense_id;owner;content;cost;tag;day;created_by;created_on;modified_by;modified_on
1;71487;Rubber Centralized Computer;93223;Virginia;2023-05-03;Arizona transmitting incentivize;2023-05-03T02:54:50;Practical Accountability;2023-05-02T04:30:23
2;82470;bluetooth Oregon;79769;transform;2023-05-02;vortals Tajikistan feed;2023-05-02T07:16:12;transmit bypassing;2023-05-02T16:31:48
3;34285;Global Account;53014;yellow;2023-05-02;synthesize;2023-05-02T13:51:46;wireless;2023-05-02T18:07:47
4;46995;Micronesia;69860;Optimization Swiss Vatu;2023-05-02;deposit;2023-05-02T12:41:21;payment Wooden;2023-05-02T07:08:19
5;21353;Ohio executive;92476;system solutions;2023-05-02;Automotive Legacy invoice;2023-05-02T10:37:27;cultivate EXE;2023-05-02T09:52:59
6;70363;green pixel;77703;Plaza multi-tasking;2023-05-02;connect interface Islands;2023-05-03T01:49:53;embrace reinvent transition;2023-05-02T12:46:17
7;66183;Buckinghamshire flexibility Kip;76553;Metal Uzbekistan multi-byte;2023-05-02;Rubber;2023-05-02T04:00:27;Frozen Taiwan;2023-05-02T21:53:38
8;22535;Montana Field Licensed;93721;Berkshire PCI;2023-05-02;deposit;2023-05-02T23:59:24;Shoes deposit optimize;2023-05-02T06:54:34
9;47301;input Optimization;88316;Bedfordshire Operations expedite;2023-05-03;Crossing Cameroon hack;2023-05-02T19:41:56;Loan blue Borders;2023-05-02T07:29:12
10;16806;green;88909;Front-line Interactions Concrete;2023-05-02;Soap input;2023-05-02T23:03:03;reboot PCI;2023-05-02T11:32:50
